egoid,vertex1,vertex2,wave
10237,10237,710213,1
10237,10237,791455,1
10237,10237,715237,1
10237,10237,395167,1
10237,10237,794543,1
10237,10237,201164,1
10237,10237,970860,1
10237,10237,555957,1
10237,10237,944646,1
10237,794543,201164,1
10237,791455,715237,1
10237,791455,606285,1
10237,970860,395167,1
10237,10237,606285,1
10237,791455,794543,1
10237,791455,710213,1
10237,794543,944646,1
10237,395167,715237,1
10237,555957,715237,1
10237,970860,794543,1
10237,710213,715237,1
10237,201164,715237,1
10237,395167,606285,1
10237,944646,395167,1
10237,970860,606285,1
10237,794543,710213,1
10237,791455,201164,1
10237,794543,555957,1
10237,791455,555957,1
10237,606285,715237,1
10237,794543,715237,1
10237,791455,944646,1
10237,794543,395167,1
10237,944646,715237,1
10237,944646,606285,1
10237,970860,715237,1
10237,606285,555957,1
10237,944646,710213,1
10237,201164,710213,1
10237,791455,395167,1
10237,606285,201164,1
10237,970860,944646,1
10237,944646,201164,1
10237,794543,606285,1
10237,710213,555957,1
10237,395167,201164,1
10237,970860,791455,1
10237,606285,710213,1
10547,10547,932326,1
10547,10547,822283,1
10547,10547,822663,1
10547,10547,462072,1
10547,10547,277145,1
10547,10547,212527,1
10547,445589,277145,1
10547,462072,822663,1
10547,462072,822283,1
10547,462072,212527,1
10547,462072,277145,1
10547,822283,445589,1
10547,10547,445589,1
10547,462072,445589,1
10547,277145,212527,1
10547,822283,932326,1
10547,932326,277145,1
10547,822283,212527,1
10547,445589,212527,1
10547,822283,277145,1
11002,11002,503852,1
11002,11002,296300,1
11002,11002,551644,1
11002,11002,621152,1
11002,11002,361829,1
11002,11002,858353,1
11002,11002,738557,1
11002,11002,562957,1
11002,11002,466461,1
11002,11002,301999,1
11002,11002,606470,1
11002,11002,744642,1
11002,11002,301361,1
11002,11002,472561,1
11002,11002,244268,1
11002,11002,411716,1
11002,858353,472561,1
11002,694008,738557,1
11002,472561,606470,1
11002,562957,744642,1
11002,244268,606470,1
11002,296300,472561,1
11002,296300,361829,1
11002,710597,244268,1
11002,694008,744642,1
11002,738557,244268,1
11002,858353,744642,1
11002,301361,694008,1
